customer_id,recency,frequency,monetary,r_score,f_score,m_score,segment
C00122,100,5,18808.53,2,2,2,Regular
C00123,35,9,31598.510000000002,4,5,4,Champions
C00124,281,1,7367.6,1,1,1,Regular
C00125,75,8,67456.59,3,4,5,Loyal
C00126,59,4,15246.33,3,1,2,Regular
C00127,45,5,55009.97,4,2,5,New / Promising
C00128,301,2,7560.110000000001,1,1,1,Regular
C00129,32,3,20771.17,4,1,2,New / Promising
C00130,61,6,13934.130000000001,3,3,1,Loyal
C00131,40,8,25679.23,4,4,3,Champions
C00132,50,6,32017.61,3,3,4,Loyal
C00133,89,7,22336.620000000003,2,4,2,At Risk
C00134,218,7,55740.94,1,4,5,At Risk
C00135,290,3,3236.58,1,1,1,Regular
C00136,72,7,21891.76,3,4,2,Loyal
C00137,193,3,6934.48,1,1,1,Regular
C00138,198,6,22656.76,1,3,2,At Risk
C00139,15,6,18891.3,5,3,2,Loyal
C00140,361,4,41887.880000000005,1,1,4,Regular
C00141,4,5,31313.74,5,2,3,New / Promising
C00142,71,8,39637.81,3,4,4,Loyal
C00143,69,8,38628.03,3,4,4,Loyal
C00144,115,2,39117.64,2,1,4,Regular
C00145,20,7,50552.01,5,4,5,Champions
C00146,21,5,20923.62,5,2,2,New / Promising
C00147,134,8,25666.96,2,4,3,At Risk
C00148,154,8,42515.86,2,4,4,At Risk
C00149,355,8,17708.84,1,4,2,At Risk
C00150,134,6,18737.170000000002,2,3,2,At Risk
C00151,86,7,25808.08,3,4,3,Loyal
C00152,68,5,37187.35,3,2,4,Regular
C00153,18,3,7266.28,5,1,1,New / Promising
C00154,97,4,15254.329999999998,2,1,2,Regular
C00155,66,6,13848.93,3,3,1,Loyal
C00156,53,9,48466.47,3,5,5,Loyal
C00157,51,4,17620.989999999998,3,1,2,Regular
C00158,44,5,27813.27,4,2,3,New / Promising
C00159,216,5,15852.970000000001,1,2,2,Regular
C00160,22,5,15434.130000000001,5,2,2,New / Promising
C00161,143,6,17536.46,2,3,2,At Risk
C00162,95,4,6180.85,2,1,1,Regular
C00163,45,6,16756.36,4,3,2,Loyal
C00164,175,3,81547.47,1,1,5,Regular
C00166,312,3,6103.96,1,1,1,Regular
C00167,84,4,10436.6,3,1,1,Regular
C00168,46,8,35302.86,4,4,4,Champions
C00169,20,7,124681.58,5,4,5,Champions
C00170,65,5,29588.36,3,2,3,Regular
C00171,263,5,59860.69,1,2,5,Regular
C00172,165,8,44250.37,1,4,4,At Risk
C00173,66,5,43574.09,3,2,4,Regular
C00174,55,5,30494.230000000003,3,2,3,Regular
C00175,334,4,46889.86,1,1,5,Regular
C00176,192,3,6231.92,1,1,1,Regular
C00177,165,5,33865.69,1,2,4,Regular
C00178,151,6,50747.22,2,3,5,At Risk
C00179,35,6,23788.510000000002,4,3,3,Loyal
C00180,4,5,20140.31,5,2,2,New / Promising
C00181,97,7,18696.95,2,4,2,At Risk
C00182,69,7,85849.4,3,4,5,Loyal
C00183,102,7,47640.79,2,4,5,At Risk
C00184,173,5,7725.8,1,2,1,Regular
C00185,50,6,59434.35,3,3,5,Loyal
C00186,147,7,18820.27,2,4,2,At Risk
C00187,230,3,20424.81,1,1,2,Regular
C00188,26,5,43733.65,4,2,4,New / Promising
C00189,156,7,76330.11,1,4,5,At Risk
C00190,9,7,63493.05,5,4,5,Champions
C00191,278,3,4732.9,1,1,1,Regular
C00192,2,8,37676.66,5,4,4,Champions
C00193,29,6,43819.17,4,3,4,Loyal
C00194,52,8,61344.21,3,4,5,Loyal
C00195,47,10,39491.67,4,5,4,Champions
C00196,126,9,66863.45,2,5,5,At Risk
C00197,37,8,36964.700000000004,4,4,4,Champions
C00198,164,3,6190.21,1,1,1,Regular
C00199,134,5,32077.649999999998,2,2,4,Regular
C00200,30,4,6352.1,4,1,1,New / Promising
C00201,163,5,22951.28,1,2,3,Regular
C00202,49,5,13942.94,3,2,1,Regular
C00203,66,10,38279.1,3,5,4,Loyal
C00204,424,4,18279.86,1,1,2,Regular
C00205,113,5,31743.61,2,2,4,Regular
C00206,18,8,45349.16,5,4,5,Champions
C00207,1,7,58595.229999999996,5,4,5,Champions
C00208,11,6,26598.98,5,3,3,Loyal
C00209,184,8,31026.97,1,4,3,At Risk
C00210,45,7,62301.42,4,4,5,Champions
C00211,141,7,30908.85,2,4,3,At Risk
C00212,92,3,10964.1,2,1,1,Regular
C00213,14,9,45024.3,5,5,5,Champions
C00214,153,4,12450.29,2,1,1,Regular
C00215,160,5,41376.909999999996,1,2,4,Regular
C00216,133,6,29941.379999999997,2,3,3,At Risk
C00217,23,5,25376.739999999998,4,2,3,New / Promising
C00218,108,2,10533.74,2,1,1,Regular
C00219,101,9,37944.0,2,5,4,At Risk
C00220,128,6,18689.01,2,3,2,At Risk
C00221,58,6,20064.129999999997,3,3,2,Loyal
C00222,63,5,14034.54,3,2,1,Regular
C00223,3,4,4549.57,5,1,1,New / Promising
C00224,108,6,15661.6,2,3,2,At Risk
C00225,62,5,23594.19,3,2,3,Regular
C00226,56,11,47992.08,3,5,5,Loyal
C00227,13,6,21785.43,5,3,2,Loyal
C00228,42,8,32381.78,4,4,4,Champions
C00229,193,7,24686.370000000003,1,4,3,At Risk
C00230,84,3,11075.990000000002,3,1,1,Regular
C00231,166,5,32603.95,1,2,4,Regular
C00232,13,11,35828.15,5,5,4,Champions
C00233,5,7,25145.879999999997,5,4,3,Champions
C00234,95,6,32825.41,2,3,4,At Risk
C00235,157,6,19799.489999999998,1,3,2,At Risk
C00236,131,6,47190.41,2,3,5,At Risk
C00237,397,6,18564.31,1,3,2,At Risk
C00238,20,7,14721.46,5,4,1,Champions
C00239,160,9,35109.97,1,5,4,At Risk
C00240,197,8,29761.5,1,4,3,At Risk
C00241,96,7,32943.06,2,4,4,At Risk
C00242,210,4,18503.260000000002,1,1,2,Regular
C00243,34,4,15437.310000000001,4,1,2,New / Promising
C00244,4,6,16502.72,5,3,2,Loyal
C00245,122,2,11446.789999999999,2,1,1,Regular
C00246,15,2,5510.59,5,1,1,New / Promising
C00247,45,6,86578.36,4,3,5,Loyal
C00248,167,4,21738.67,1,1,2,Regular
C00249,8,5,18841.22,5,2,2,New / Promising
C00250,62,5,13584.1,3,2,1,Regular
C00251,227,3,6505.93,1,1,1,Regular
C00252,50,7,33981.32,3,4,4,Loyal
C00253,56,5,18387.03,3,2,2,Regular
C00254,149,4,20320.01,2,1,2,Regular
C00255,11,12,64303.2,5,5,5,Champions
C00256,136,4,5176.99,2,1,1,Regular
C00257,13,9,19241.24,5,5,2,Champions
C00258,60,3,24336.47,3,1,3,Regular
C00259,118,4,14753.810000000001,2,1,1,Regular
C00260,145,4,28995.39,2,1,3,Regular
C00261,113,5,35520.03,2,2,4,Regular
C00262,23,5,19794.94,4,2,2,New / Promising
C00263,96,7,15116.99,2,4,2,At Risk
C00264,62,5,19020.08,3,2,2,Regular
C00265,81,7,53036.95,3,4,5,Loyal
C00266,42,4,20695.75,4,1,2,New / Promising
C00267,112,5,21081.13,2,2,2,Regular
C00268,147,9,33102.130000000005,2,5,4,At Risk
C00269,102,6,22730.79,2,3,3,At Risk
C00270,151,8,27260.100000000002,2,4,3,At Risk
C00271,30,7,40739.46,4,4,4,Champions
C00272,10,3,8319.26,5,1,1,New / Promising
C00273,9,7,21063.08,5,4,2,Champions
C00274,38,7,53311.8,4,4,5,Champions
C00275,146,10,63367.89,2,5,5,At Risk
C00276,86,8,37076.06,3,4,4,Loyal
C00277,138,5,39452.1,2,2,4,Regular
C00278,90,5,57378.05,2,2,5,Regular
C00279,89,8,18769.79,2,4,2,At Risk
C00280,30,12,56160.34,4,5,5,Champions
C00281,37,6,39336.03,4,3,4,Loyal
C00282,219,4,38733.54,1,1,4,Regular
C00283,105,4,7715.63,2,1,1,Regular
C00284,376,4,10355.060000000001,1,1,1,Regular
C00285,60,8,19630.92,3,4,2,Loyal
C00286,39,4,12142.3,4,1,1,New / Promising
C00287,70,9,62875.090000000004,3,5,5,Loyal
C00288,35,3,15203.279999999999,4,1,2,New / Promising
C00289,21,7,23016.89,5,4,3,Champions
C00290,42,3,18619.95,4,1,2,New / Promising
C00291,64,4,12523.16,3,1,1,Regular
C00292,127,5,6351.76,2,2,1,Regular
C00293,42,5,27307.6,4,2,3,New / Promising
C00294,83,8,26986.510000000002,3,4,3,Loyal
C00295,146,9,31229.890000000003,2,5,3,At Risk
C00296,51,6,16433.920000000002,3,3,2,Loyal
C00297,78,6,15954.39,3,3,2,Loyal
C00298,44,5,29098.34,4,2,3,New / Promising
C00299,9,4,25046.46,5,1,3,New / Promising
C00300,77,2,11925.76,3,1,1,Regular
C00301,168,9,34127.83,1,5,4,At Risk
C00302,243,8,29003.68,1,4,3,At Risk
C00303,53,8,34501.0,3,4,4,Loyal
C00304,48,9,52876.4,4,5,5,Champions
C00305,43,9,46669.37,4,5,5,Champions
C00306,16,5,16366.98,5,2,2,New / Promising
C00307,50,5,26476.06,3,2,3,Regular
C00308,58,4,7506.7,3,1,1,Regular
C00309,220,9,36618.68,1,5,4,At Risk
C00310,133,3,17708.28,2,1,2,Regular
C00311,170,6,31717.52,1,3,4,At Risk
C00312,89,3,8793.76,2,1,1,Regular
C00313,38,7,40485.94,4,4,4,Champions
C00314,183,7,72653.03,1,4,5,At Risk
C00315,64,5,16748.94,3,2,2,Regular
C00316,54,6,47629.06,3,3,5,Loyal
C00317,89,8,41453.78,2,4,4,At Risk
C00318,20,3,24176.03,5,1,3,New / Promising
C00319,56,6,25803.15,3,3,3,Loyal
C00320,7,8,26821.63,5,4,3,Champions
C00321,13,6,33232.49,5,3,4,Loyal
C00322,112,5,21557.85,2,2,2,Regular
C00323,22,5,14201.87,5,2,1,New / Promising
C00324,15,8,27172.79,5,4,3,Champions
C00325,89,4,5753.19,2,1,1,Regular
C00326,9,9,37146.81,5,5,4,Champions
C00327,19,11,32250.71,5,5,4,Champions
C00328,90,3,5667.71,2,1,1,Regular
C00329,11,2,3092.13,5,1,1,New / Promising
C00330,33,6,36144.44,4,3,4,Loyal
C00331,21,4,15100.960000000001,5,1,2,New / Promising
C00332,256,4,7069.27,1,1,1,Regular
C00333,16,6,56346.19,5,3,5,Loyal
C00334,23,8,28945.18,4,4,3,Champions
C00335,166,5,31230.85,1,2,3,Regular
C00336,71,5,36694.740000000005,3,2,4,Regular
C00337,3,10,104179.95,5,5,5,Champions
C00338,28,7,33371.77,4,4,4,Champions
C00339,22,3,4329.78,5,1,1,New / Promising
C00340,118,8,40118.520000000004,2,4,4,At Risk
C00341,36,3,10988.5,4,1,1,New / Promising
C00342,45,5,12922.599999999999,4,2,1,New / Promising
C00343,121,9,44204.1,2,5,4,At Risk
C00344,3,6,17136.1,5,3,2,Loyal
C00345,76,7,29597.27,3,4,3,Loyal
C00346,110,12,70474.92,2,5,5,At Risk
C00347,3,3,21941.03,5,1,2,New / Promising
C00348,127,8,45824.380000000005,2,4,5,At Risk
C00349,71,10,45431.39,3,5,5,Loyal
C00350,37,5,14941.14,4,2,1,New / Promising
C00351,7,7,45333.78,5,4,5,Champions
C00352,118,5,55047.47,2,2,5,Regular
C00353,5,10,37056.33,5,5,4,Champions
C00354,33,10,24905.02,4,5,3,Champions
C00355,20,4,11352.73,5,1,1,New / Promising
C00356,1,8,63023.39,5,4,5,Champions
C00357,113,5,26005.0,2,2,3,Regular
C00358,219,5,24348.04,1,2,3,Regular
C00359,293,4,21023.1,1,1,2,Regular
C00360,255,3,7927.72,1,1,1,Regular
C00361,58,6,24865.47,3,3,3,Loyal
C00362,294,6,20212.32,1,3,2,At Risk
C00363,14,7,55033.490000000005,5,4,5,Champions
C00364,131,6,16928.59,2,3,2,At Risk
C00365,294,5,14631.04,1,2,1,Regular
C00366,147,9,46038.990000000005,2,5,5,At Risk
C00367,25,6,15500.84,4,3,2,Loyal
C00368,67,6,19135.76,3,3,2,Loyal
C00369,67,8,49707.49,3,4,5,Loyal
C00370,237,4,15062.529999999999,1,1,2,Regular
C00371,167,6,30128.97,1,3,3,At Risk
C00372,184,7,48270.82,1,4,5,At Risk
C00373,52,7,29635.8,3,4,3,Loyal
C00374,86,5,13687.99,3,2,1,Regular
C00375,51,6,27798.73,3,3,3,Loyal
C00376,63,11,43654.0,3,5,4,Loyal
C00377,130,4,9316.2,2,1,1,Regular
C00378,1,6,40012.58,5,3,4,Loyal
C00379,61,6,33387.37,3,3,4,Loyal
C00380,126,7,26399.23,2,4,3,At Risk
C00381,155,5,27027.120000000003,2,2,3,Regular
C00382,37,10,37199.54,4,5,4,Champions
C00383,118,4,18324.85,2,1,2,Regular
C00384,244,2,13951.68,1,1,1,Regular
C00385,31,5,24844.51,4,2,3,New / Promising
C00386,223,7,30074.63,1,4,3,At Risk
C00387,148,7,40118.42,2,4,4,At Risk
C00388,222,9,27825.99,1,5,3,At Risk
C00389,31,8,112219.8,4,4,5,Champions
C00390,32,3,12606.02,4,1,1,New / Promising
C00391,7,3,27299.1,5,1,3,New / Promising
C00392,141,3,22105.08,2,1,2,Regular
C00393,387,2,9148.17,1,1,1,Regular
C00394,3,4,6884.47,5,1,1,New / Promising
C00395,34,11,92434.37,4,5,5,Champions
C00396,20,8,32565.98,5,4,4,Champions
C00397,26,11,28418.93,4,5,3,Champions
C00398,27,9,35826.86,4,5,4,Champions
C00399,30,6,36760.39,4,3,4,Loyal
C00400,37,9,29011.21,4,5,3,Champions
C00401,7,5,29970.51,5,2,3,New / Promising
C00402,35,7,23207.93,4,4,3,Champions
C00403,28,9,29672.84,4,5,3,Champions
C00404,222,6,22950.48,1,3,3,At Risk
C00405,303,1,11865.42,1,1,1,Regular
C00406,8,8,25887.35,5,4,3,Champions
C00407,496,1,1167.8,1,1,1,Regular
C00408,74,4,23181.82,3,1,3,Regular
C00409,27,4,14255.849999999999,4,1,1,New / Promising
C00410,52,7,15799.8,3,4,2,Loyal
C00411,129,11,56607.399999999994,2,5,5,At Risk
C00412,271,4,34575.71,1,1,4,Regular
C00413,55,6,17206.6,3,3,2,Loyal
C00414,31,6,29909.92,4,3,3,Loyal
C00415,28,4,22525.41,4,1,2,New / Promising
C00416,7,9,56495.38,5,5,5,Champions
C00417,158,3,4263.97,1,1,1,Regular
C00418,68,5,15592.32,3,2,2,Regular
C00419,147,4,22038.25,2,1,2,Regular
C00420,229,4,24548.559999999998,1,1,3,Regular
C00421,48,11,25673.18,4,5,3,Champions
C00422,386,3,9766.32,1,1,1,Regular
C00423,7,6,24366.690000000002,5,3,3,Loyal
C00424,33,4,4532.23,4,1,1,New / Promising
C00425,34,5,15127.86,4,2,2,New / Promising
C00426,202,4,61737.64,1,1,5,Regular
C00427,71,4,14475.22,3,1,1,Regular
C00428,22,2,4000.65,5,1,1,New / Promising
C00429,68,5,23406.28,3,2,3,Regular
C00430,58,10,35135.46,3,5,4,Loyal
C00431,84,6,23057.12,3,3,3,Loyal
C00432,30,7,18887.98,4,4,2,Champions
C00433,18,7,25791.32,5,4,3,Champions
C00434,45,3,14539.220000000001,4,1,1,New / Promising
C00435,10,9,39028.34,5,5,4,Champions
C00436,15,2,44094.25,5,1,4,New / Promising
C00437,94,5,20561.2,2,2,2,Regular
C00438,18,5,27749.96,5,2,3,New / Promising
C00439,133,7,27974.07,2,4,3,At Risk
C00440,26,5,6738.25,4,2,1,New / Promising
C00441,198,3,40055.229999999996,1,1,4,Regular
C00442,213,7,15722.07,1,4,2,At Risk
C00443,41,7,16762.059999999998,4,4,2,Champions
C00444,11,7,29282.41,5,4,3,Champions
C00445,49,5,44534.35,3,2,4,Regular
C00446,117,4,48260.84,2,1,5,Regular
C00447,53,10,58854.130000000005,3,5,5,Loyal
C00448,99,6,58496.94,2,3,5,At Risk
C00449,26,9,57928.4,4,5,5,Champions
C00450,213,2,9998.0,1,1,1,Regular
C00451,46,3,12044.68,4,1,1,New / Promising
C00452,11,5,17875.32,5,2,2,New / Promising
C00453,127,5,29685.87,2,2,3,Regular
C00454,165,4,14890.59,1,1,1,Regular
C00455,2,3,18779.7,5,1,2,New / Promising
C00456,127,6,14108.14,2,3,1,At Risk
C00457,5,11,58412.34,5,5,5,Champions
C00458,72,6,22608.74,3,3,2,Loyal
C00459,9,10,29724.99,5,5,3,Champions
C00460,149,6,14472.48,2,3,1,At Risk
C00461,61,10,31969.350000000002,3,5,4,Loyal
C00462,1,9,30346.14,5,5,3,Champions
C00463,22,8,22950.73,5,4,3,Champions
C00464,11,7,36339.52,5,4,4,Champions
C00465,16,12,95583.54000000001,5,5,5,Champions
C00466,59,4,44543.25,3,1,4,Regular
C00467,347,9,51650.46,1,5,5,At Risk
C00468,61,7,25947.510000000002,3,4,3,Loyal
C00469,1,7,31167.440000000002,5,4,3,Champions
C00470,93,7,30838.89,2,4,3,At Risk
C00471,89,6,33870.93,2,3,4,At Risk
C00472,410,3,5188.75,1,1,1,Regular
C00473,156,6,27081.62,1,3,3,At Risk
C00474,101,8,51824.57000000001,2,4,5,At Risk
C00475,14,6,59614.399999999994,5,3,5,Loyal
C00476,503,1,0.0,1,1,1,Regular
C00477,161,7,20513.23,1,4,2,At Risk
C00478,167,6,27585.989999999998,1,3,3,At Risk
C00479,283,4,10762.34,1,1,1,Regular
C00480,11,4,17595.48,5,1,2,New / Promising
C00481,24,5,28157.51,4,2,3,New / Promising
C00482,12,7,50131.06,5,4,5,Champions
C00483,128,5,39348.42,2,2,4,Regular
C00484,37,7,22836.28,4,4,3,Champions
C00485,176,8,37663.47,1,4,4,At Risk
C00486,9,6,14965.56,5,3,1,Loyal
C00487,15,6,79853.64,5,3,5,Loyal
C00488,155,7,19868.19,2,4,2,At Risk
C00489,110,4,14778.85,2,1,1,Regular
C00490,43,7,35148.52,4,4,4,Champions
C00491,8,5,34914.14,5,2,4,New / Promising
C00492,142,6,21414.84,2,3,2,At Risk
C00493,101,8,61095.73,2,4,5,At Risk
C00494,63,3,9837.67,3,1,1,Regular
C00495,142,4,16651.67,2,1,2,Regular
C00496,446,2,3021.88,1,1,1,Regular
C00497,100,7,35299.22,2,4,4,At Risk
C00498,225,2,4973.08,1,1,1,Regular
C00499,94,6,16182.21,2,3,2,At Risk
C00500,63,4,27365.920000000002,3,1,3,Regular
C00501,19,8,57257.78,5,4,5,Champions
C00502,35,5,14693.060000000001,4,2,1,New / Promising
C00503,140,7,33167.07,2,4,4,At Risk
C00504,143,7,44014.8,2,4,4,At Risk
C00505,77,5,26919.77,3,2,3,Regular
C00506,100,5,9508.1,2,2,1,Regular
C00507,28,5,13815.73,4,2,1,New / Promising
C00508,15,7,24050.49,5,4,3,Champions
C00509,77,3,12261.240000000002,3,1,1,Regular
C00510,47,7,29944.160000000003,4,4,3,Champions
C00511,295,1,9198.0,1,1,1,Regular
C00512,21,15,56556.65,5,5,5,Champions
C00513,80,7,21137.42,3,4,2,Loyal
C00514,12,6,32404.32,5,3,4,Loyal
C00515,28,6,48074.15,4,3,5,Loyal
C00516,46,7,28105.28,4,4,3,Champions
C00517,214,3,29117.090000000004,1,1,3,Regular
C00518,121,5,14850.89,2,2,1,Regular
C00519,129,8,20778.91,2,4,2,At Risk
C00520,88,8,24754.18,2,4,3,At Risk
C00521,17,9,44935.9,5,5,5,Champions
C00522,9,5,14487.26,5,2,1,New / Promising
C00523,145,3,19062.78,2,1,2,Regular
C00524,18,7,53312.86,5,4,5,Champions
C00525,266,4,11372.05,1,1,1,Regular
C00526,122,7,40477.66,2,4,4,At Risk
C00527,180,3,14978.149999999998,1,1,1,Regular
C00528,94,7,39488.8,2,4,4,At Risk
C00529,121,3,9132.900000000001,2,1,1,Regular
C00530,49,7,32260.93,3,4,4,Loyal
C00531,95,8,23256.420000000002,2,4,3,At Risk
C00532,113,5,8737.27,2,2,1,Regular
C00533,69,8,39528.52,3,4,4,Loyal
C00534,80,7,26228.64,3,4,3,Loyal
C00535,15,11,52401.83,5,5,5,Champions
C00536,71,7,28244.41,3,4,3,Loyal
C00537,94,5,19074.59,2,2,2,Regular
C00538,85,5,26433.199999999997,3,2,3,Regular
C00539,5,9,39885.44,5,5,4,Champions
C00540,103,2,14837.14,2,1,1,Regular
C00541,21,5,30718.65,5,2,3,New / Promising
C00542,134,6,20787.86,2,3,2,At Risk
C00543,49,4,16455.13,3,1,2,Regular
C00544,142,6,17937.14,2,3,2,At Risk
C00545,3,10,55721.04,5,5,5,Champions
C00546,40,5,17034.78,4,2,2,New / Promising
C00547,17,9,72374.01,5,5,5,Champions
C00548,57,6,51091.62,3,3,5,Loyal
C00549,25,6,29582.86,4,3,3,Loyal
C00550,209,9,36321.01,1,5,4,At Risk
C00551,3,7,36870.770000000004,5,4,4,Champions
C00552,478,3,18807.11,1,1,2,Regular
C00553,28,11,57872.49,4,5,5,Champions
C00554,14,5,25225.79,5,2,3,New / Promising
C00555,8,7,64015.270000000004,5,4,5,Champions
C00556,41,5,18863.56,4,2,2,New / Promising
C00557,57,7,26952.34,3,4,3,Loyal
C00558,106,6,13706.86,2,3,1,At Risk
C00559,3,11,50472.62,5,5,5,Champions
C00560,283,3,12611.849999999999,1,1,1,Regular
C00561,50,2,6998.0,3,1,1,Regular
C00562,71,5,20313.51,3,2,2,Regular
C00563,121,5,12824.76,2,2,1,Regular
C00564,51,5,24237.0,3,2,3,Regular
C00565,207,7,40384.8,1,4,4,At Risk
C00566,156,5,23943.5,1,2,3,Regular
C00567,56,7,81208.06,3,4,5,Loyal
C00568,242,4,9296.77,1,1,1,Regular
C00569,1,10,53844.350000000006,5,5,5,Champions
C00570,122,5,10395.45,2,2,1,Regular
C00571,126,7,23413.54,2,4,3,At Risk
C00572,2,4,23991.96,5,1,3,New / Promising
C00573,24,11,55541.17,4,5,5,Champions
C00574,57,3,4840.25,3,1,1,Regular
C00575,126,3,7184.77,2,1,1,Regular
C00576,561,1,1403.92,1,1,1,Regular
C00577,262,6,29747.29,1,3,3,At Risk
C00578,11,11,61197.97,5,5,5,Champions
C00579,127,7,18627.38,2,4,2,At Risk
