session_id,session_date,channel,device,product_view,add_to_cart,checkout,purchase
S0000243,2026-08-07,Social,Mobile,0,0,0,0
S0000244,2026-06-19,Organic,Mobile,0,0,0,0
S0000245,2025-01-21,Direct,Desktop,0,0,0,0
S0000246,2025-10-27,Paid Search,Mobile,1,0,0,0
S0000247,2025-04-07,Direct,Mobile,1,1,1,1
S0000248,2026-07-17,Direct,Mobile,0,0,0,0
S0000249,2025-04-03,Direct,Tablet,1,0,0,0
S0000250,2025-02-24,Email,Mobile,1,1,0,0
S0000251,2025-03-04,Organic,Mobile,1,0,0,0
S0000252,2025-07-27,Direct,Mobile,1,0,0,0
S0000253,2026-01-29,Social,Mobile,1,0,0,0
S0000254,2026-03-05,Direct,Tablet,1,0,0,0
S0000255,2025-12-11,Organic,Mobile,0,0,0,0
S0000256,2025-01-04,Social,Mobile,1,1,1,1
S0000257,2025-05-13,Organic,Desktop,1,1,0,0
S0000258,2025-04-29,Email,Desktop,1,1,0,0
S0000259,2026-03-24,Social,Desktop,1,0,0,0
S0000260,2026-06-02,Paid Search,Mobile,1,0,0,0
S0000261,2025-05-19,Direct,Desktop,1,1,1,1
S0000262,2025-06-30,Organic,Desktop,1,0,0,0
S0000263,2025-11-18,Paid Search,Mobile,0,0,0,0
S0000264,2026-06-05,Organic,Tablet,0,0,0,0
S0000265,2025-01-09,Social,Tablet,1,0,0,0
S0000266,2026-04-02,Social,Mobile,1,1,1,1
S0000267,2025-02-10,Direct,Mobile,0,0,0,0
S0000268,2026-05-08,Paid Search,Mobile,1,1,0,0
S0000269,2025-11-25,Direct,Desktop,1,0,0,0
S0000270,2026-06-22,Direct,Mobile,1,0,0,0
S0000271,2025-06-22,Paid Search,Desktop,0,0,0,0
S0000272,2026-08-11,Direct,Mobile,0,0,0,0
S0000273,2026-07-14,Organic,Tablet,0,0,0,0
S0000274,2025-07-12,Organic,Mobile,0,0,0,0
S0000275,2026-03-05,Direct,Mobile,1,0,0,0
S0000276,2025-06-02,Social,Mobile,1,0,0,0
S0000277,2025-10-06,Organic,Mobile,1,0,0,0
S0000278,2025-02-09,Organic,Mobile,0,0,0,0
S0000279,2025-12-04,Social,Desktop,1,1,1,1
S0000280,2025-05-30,Social,Mobile,0,0,0,0
S0000281,2026-08-17,Direct,Mobile,1,0,0,0
S0000282,2026-08-25,Organic,Mobile,1,1,1,1
S0000283,2025-06-24,Organic,Desktop,1,1,1,1
S0000284,2025-04-03,Social,Desktop,0,0,0,0
S0000285,2025-05-19,Organic,Mobile,0,0,0,0
S0000286,2026-01-26,Paid Search,Mobile,1,0,0,0
S0000287,2026-05-18,Social,Mobile,0,0,0,0
S0000288,2026-06-02,Direct,Mobile,1,0,0,0
S0000289,2026-02-04,Direct,Mobile,0,0,0,0
S0000290,2025-05-27,Email,Mobile,1,0,0,0
S0000291,2025-11-22,Paid Search,Tablet,1,1,1,1
S0000292,2025-09-12,Organic,Mobile,1,1,1,0
S0000293,2026-02-28,Direct,Mobile,0,0,0,0
S0000294,2025-09-06,Direct,Mobile,0,0,0,0
S0000295,2025-12-26,Organic,Tablet,0,0,0,0
S0000296,2025-08-19,Organic,Desktop,1,1,1,1
S0000297,2025-06-30,Paid Search,Mobile,1,0,0,0
S0000298,2025-07-03,Social,Mobile,1,1,1,1
S0000299,2026-02-19,Social,Mobile,1,0,0,0
S0000300,2026-02-24,Direct,Desktop,1,0,0,0
S0000301,2026-03-21,Organic,Mobile,1,0,0,0
S0000302,2025-07-16,Social,Mobile,1,1,1,0
S0000303,2025-05-20,Organic,Mobile,1,0,0,0
S0000304,2025-04-17,Paid Search,Mobile,1,0,0,0
S0000305,2025-03-12,Organic,Mobile,1,1,1,1
S0000306,2026-04-14,Organic,Desktop,0,0,0,0
S0000307,2025-09-13,Paid Search,Mobile,1,0,0,0
S0000308,2025-05-02,Paid Search,Mobile,1,1,1,1
S0000309,2025-12-11,Organic,Desktop,1,1,1,0
S0000310,2026-03-15,Organic,Desktop,1,0,0,0
S0000311,2026-01-14,Organic,Tablet,1,1,0,0
S0000312,2025-10-16,Social,Mobile,1,0,0,0
S0000313,2026-05-09,Paid Search,Mobile,1,0,0,0
S0000314,2025-12-28,Paid Search,Mobile,1,0,0,0
S0000315,2026-05-25,Social,Mobile,1,0,0,0
S0000316,2025-05-25,Organic,Mobile,0,0,0,0
S0000317,2026-03-07,Email,Mobile,1,1,1,0
S0000318,2025-07-16,Direct,Desktop,1,1,1,0
S0000319,2026-08-28,Paid Search,Mobile,1,0,0,0
S0000320,2026-01-12,Email,Mobile,1,0,0,0
S0000321,2026-05-21,Paid Search,Mobile,1,0,0,0
S0000322,2025-04-10,Paid Search,Mobile,0,0,0,0
S0000323,2026-08-02,Direct,Desktop,1,1,1,0
S0000324,2025-06-19,Paid Search,Mobile,0,0,0,0
S0000325,2025-11-06,Direct,Mobile,0,0,0,0
S0000326,2025-10-17,Organic,Mobile,1,0,0,0
S0000327,2025-11-18,Organic,Mobile,1,0,0,0
S0000328,2026-06-19,Direct,Mobile,0,0,0,0
S0000329,2025-02-25,Direct,Mobile,1,0,0,0
S0000330,2026-06-27,Direct,Desktop,1,0,0,0
S0000331,2025-01-12,Direct,Mobile,1,0,0,0
S0000332,2025-09-26,Organic,Desktop,0,0,0,0
S0000333,2025-08-23,Email,Mobile,1,1,1,1
S0000334,2026-08-29,Organic,Desktop,0,0,0,0
S0000335,2025-12-18,Organic,Mobile,1,0,0,0
S0000336,2026-05-21,Email,Mobile,1,0,0,0
S0000337,2026-08-26,Organic,Tablet,0,0,0,0
S0000338,2025-08-13,Social,Mobile,1,1,1,1
S0000339,2025-02-11,Email,Mobile,0,0,0,0
S0000340,2025-12-03,Paid Search,Mobile,1,0,0,0
S0000341,2026-02-14,Organic,Mobile,0,0,0,0
S0000342,2025-04-01,Social,Tablet,0,0,0,0
S0000343,2026-03-17,Direct,Mobile,0,0,0,0
S0000344,2026-02-16,Organic,Mobile,1,0,0,0
S0000345,2025-08-05,Email,Mobile,1,0,0,0
S0000346,2025-09-05,Organic,Desktop,1,0,0,0
S0000347,2026-07-12,Organic,Mobile,1,0,0,0
S0000348,2026-07-15,Organic,Tablet,1,1,1,1
S0000349,2025-06-28,Direct,Mobile,1,0,0,0
S0000350,2026-01-01,Paid Search,Mobile,1,1,0,0
S0000351,2025-03-20,Organic,Mobile,0,0,0,0
S0000352,2026-02-24,Organic,Mobile,0,0,0,0
S0000353,2025-07-18,Organic,Mobile,0,0,0,0
S0000354,2026-03-21,Organic,Mobile,0,0,0,0
S0000355,2026-08-21,Paid Search,Mobile,1,0,0,0
S0000356,2026-04-23,Organic,Mobile,1,1,1,1
S0000357,2026-06-06,Organic,Mobile,0,0,0,0
S0000358,2025-06-22,Organic,Mobile,0,0,0,0
S0000359,2025-10-02,Direct,Mobile,0,0,0,0
S0000360,2026-01-20,Organic,Tablet,0,0,0,0
S0000361,2025-06-09,Organic,Mobile,0,0,0,0
S0000362,2026-05-12,Organic,Mobile,0,0,0,0
S0000363,2026-01-11,Organic,Desktop,0,0,0,0
S0000364,2026-01-19,Paid Search,Mobile,1,0,0,0
S0000365,2025-04-18,Organic,Desktop,1,0,0,0
S0000366,2025-11-01,Organic,Desktop,1,0,0,0
S0000367,2025-08-20,Paid Search,Desktop,0,0,0,0
S0000368,2025-08-23,Organic,Desktop,0,0,0,0
S0000369,2025-01-12,Direct,Desktop,1,1,0,0
S0000370,2026-05-16,Direct,Desktop,1,0,0,0
S0000371,2025-05-15,Organic,Mobile,1,1,0,0
S0000372,2026-08-08,Organic,Mobile,0,0,0,0
S0000373,2026-05-18,Social,Tablet,1,0,0,0
S0000374,2025-03-03,Organic,Mobile,1,1,1,1
S0000375,2026-07-13,Social,Mobile,1,0,0,0
S0000376,2026-07-12,Email,Mobile,1,0,0,0
S0000377,2026-02-22,Social,Desktop,0,0,0,0
S0000378,2025-04-21,Email,Mobile,1,1,1,1
S0000379,2026-06-05,Paid Search,Mobile,1,0,0,0
S0000380,2025-07-26,Paid Search,Mobile,1,1,1,1
S0000381,2026-08-11,Organic,Mobile,1,1,1,1
S0000382,2025-04-08,Email,Mobile,0,0,0,0
S0000383,2025-07-07,Paid Search,Desktop,1,1,0,0
S0000384,2025-10-24,Direct,Desktop,1,0,0,0
S0000385,2025-11-25,Email,Mobile,0,0,0,0
S0000386,2025-01-21,Paid Search,Mobile,1,0,0,0
S0000387,2025-04-10,Organic,Mobile,1,0,0,0
S0000388,2025-03-06,Email,Desktop,1,1,0,0
S0000389,2025-07-31,Organic,Mobile,1,1,0,0
S0000390,2025-01-19,Paid Search,Mobile,1,0,0,0
S0000391,2025-03-22,Direct,Mobile,1,1,1,1
S0000392,2025-09-18,Social,Mobile,1,1,1,1
S0000393,2025-09-07,Direct,Mobile,0,0,0,0
S0000394,2025-06-29,Direct,Desktop,1,0,0,0
S0000395,2026-04-09,Email,Mobile,0,0,0,0
S0000396,2026-06-24,Organic,Mobile,1,0,0,0
S0000397,2026-09-02,Email,Tablet,0,0,0,0
S0000398,2026-02-10,Organic,Mobile,1,0,0,0
S0000399,2025-03-24,Organic,Desktop,1,0,0,0
S0000400,2026-06-01,Paid Search,Mobile,1,0,0,0
S0000401,2026-03-30,Direct,Mobile,1,1,1,1
S0000402,2025-03-12,Paid Search,Mobile,1,0,0,0
S0000403,2025-03-21,Paid Search,Mobile,0,0,0,0
S0000404,2026-05-12,Organic,Mobile,1,0,0,0
S0000405,2025-06-19,Organic,Mobile,0,0,0,0
S0000406,2026-01-02,Direct,Mobile,0,0,0,0
S0000407,2025-08-24,Social,Mobile,1,0,0,0
S0000408,2025-01-17,Paid Search,Mobile,1,0,0,0
S0000409,2026-07-31,Paid Search,Mobile,1,0,0,0
S0000410,2025-07-08,Email,Mobile,1,0,0,0
S0000411,2026-03-22,Organic,Mobile,1,0,0,0
S0000412,2026-04-12,Email,Desktop,1,0,0,0
S0000413,2025-12-12,Paid Search,Mobile,1,0,0,0
S0000414,2026-07-06,Social,Mobile,1,0,0,0
S0000415,2025-05-12,Direct,Mobile,1,0,0,0
S0000416,2025-07-23,Paid Search,Desktop,1,0,0,0
S0000417,2026-06-29,Paid Search,Mobile,0,0,0,0
S0000418,2026-05-03,Paid Search,Mobile,1,1,1,1
S0000419,2025-08-08,Direct,Tablet,0,0,0,0
S0000420,2025-07-01,Email,Mobile,0,0,0,0
S0000421,2025-02-27,Organic,Mobile,1,0,0,0
S0000422,2026-08-29,Organic,Desktop,1,0,0,0
S0000423,2026-05-02,Direct,Mobile,1,1,0,0
S0000424,2026-01-22,Paid Search,Desktop,1,0,0,0
S0000425,2026-03-26,Organic,Mobile,1,0,0,0
S0000426,2025-04-11,Paid Search,Mobile,1,1,1,1
S0000427,2025-04-28,Direct,Desktop,1,0,0,0
S0000428,2026-03-11,Email,Mobile,1,0,0,0
S0000429,2025-05-04,Organic,Desktop,1,1,0,0
S0000430,2025-11-05,Paid Search,Desktop,0,0,0,0
S0000431,2025-11-27,Social,Mobile,0,0,0,0
S0000432,2025-07-31,Organic,Mobile,0,0,0,0
S0000433,2025-12-24,Organic,Mobile,1,0,0,0
S0000434,2025-06-26,Social,Mobile,1,0,0,0
S0000435,2025-09-25,Paid Search,Mobile,0,0,0,0
S0000436,2026-07-10,Email,Mobile,1,0,0,0
S0000437,2025-02-28,Paid Search,Mobile,1,0,0,0
S0000438,2026-07-14,Organic,Desktop,0,0,0,0
S0000439,2026-02-18,Organic,Desktop,1,0,0,0
S0000440,2025-05-13,Social,Mobile,1,1,0,0
S0000441,2025-05-30,Paid Search,Mobile,1,0,0,0
S0000442,2026-05-22,Organic,Mobile,1,0,0,0
S0000443,2025-11-05,Direct,Desktop,1,1,1,1
S0000444,2025-03-08,Social,Desktop,1,1,0,0
S0000445,2026-03-25,Email,Mobile,1,0,0,0
S0000446,2025-07-13,Paid Search,Mobile,0,0,0,0
S0000447,2026-06-11,Paid Search,Mobile,1,1,1,1
S0000448,2026-02-04,Organic,Desktop,0,0,0,0
S0000449,2025-06-22,Paid Search,Desktop,1,1,0,0
S0000450,2026-02-21,Organic,Mobile,0,0,0,0
S0000451,2025-02-13,Paid Search,Desktop,1,0,0,0
S0000452,2026-08-13,Direct,Mobile,1,1,1,1
S0000453,2025-12-06,Organic,Mobile,1,0,0,0
S0000454,2025-07-21,Direct,Desktop,1,0,0,0
S0000455,2026-05-09,Email,Desktop,0,0,0,0
S0000456,2025-09-14,Paid Search,Mobile,0,0,0,0
S0000457,2026-05-27,Direct,Mobile,0,0,0,0
S0000458,2026-04-03,Social,Mobile,1,1,1,1
S0000459,2026-07-02,Organic,Mobile,1,1,1,1
S0000460,2026-06-29,Organic,Desktop,0,0,0,0
S0000461,2025-05-29,Email,Desktop,1,1,0,0
S0000462,2025-03-02,Email,Mobile,1,1,1,1
S0000463,2025-07-03,Paid Search,Mobile,1,0,0,0
S0000464,2026-08-29,Organic,Mobile,1,0,0,0
S0000465,2026-07-09,Organic,Mobile,1,0,0,0
S0000466,2025-04-12,Social,Mobile,0,0,0,0
S0000467,2025-06-12,Paid Search,Desktop,0,0,0,0
S0000468,2026-08-08,Paid Search,Tablet,1,0,0,0
S0000469,2025-11-08,Paid Search,Mobile,1,0,0,0
S0000470,2025-09-04,Paid Search,Mobile,1,0,0,0
S0000471,2025-05-01,Paid Search,Mobile,1,1,0,0
S0000472,2025-02-13,Direct,Desktop,1,1,1,1
S0000473,2025-01-15,Social,Mobile,1,1,0,0
S0000474,2026-07-02,Social,Mobile,1,0,0,0
S0000475,2026-06-08,Social,Mobile,1,1,1,1
S0000476,2025-06-30,Email,Desktop,1,0,0,0
S0000477,2025-08-30,Organic,Desktop,1,1,0,0
